pc_time,t,xr,x,v,age,stop,dstop,amodel,abrk,btarget,tslew,venv,vref,ev,beam,fb,us,ua,acc,rate,u,bias,fps,e,ddl,dsl,dss,vas,vc,vb,st,ok,cnt,tgt,sat,brk,stuck,set,mv,vv,px,edge,deg,hold,q,guard,gap,inv,crc,drop,esrc
1785439092.033,20,-51.9,-44.53,125.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,210,210,0,0,0,0,1,1,1,0,0,0,3,1,0,0,0,0,0
1785439092.093,80,-39.9,-35.59,135.0,32.0,38.43,67.29,40.6,165.0,-3.0,62.3,47.97,-47.97,182.97,0.737,-2.999,-2.999,0.0,28.4,60.0,-2.72,0.0,0.0,-35.59,2.71,8.47,56.11,136.06,47.97,112.61,1,1,205,95,0,1,0,0,1,1,1,0,0,0,3,1,0,0,0,0,0
1785439092.163,140,-31.4,-26.47,141.0,35.0,51.11,70.53,6.5,165.0,-3.0,52.0,55.29,-55.29,196.29,0.119,-2.999,-2.999,0.0,47.9,60.0,-2.999,0.0,0.0,-26.47,2.82,7.34,60.37,141.14,55.29,129.86,1,1,184,87,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0
1785439092.222,200,-21.7,-15.67,159.0,38.0,79.52,86.53,-25.4,165.0,-3.0,42.3,62.46,-62.46,221.46,-0.461,-3.0,-3.0,0.0,134.6,60.0,-3.0,0.0,0.0,-15.67,3.18,6.73,76.62,159.0,62.46,161.98,1,1,165,87,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0
1785439092.289,260,-12.9,-6.27,158.0,42.0,86.33,84.19,-53.0,165.0,-3.0,33.9,63.17,-63.17,221.17,-0.963,-3.0,-3.0,0.0,87.3,60.0,-3.0,0.0,0.0,-6.27,3.16,5.36,75.66,158.0,63.17,168.77,1,1,149,87,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
1785439092.380,320,-4.6,2.57,156.0,46.0,91.68,81.01,-77.6,165.0,-3.0,26.5,63.59,-63.59,219.59,-1.411,-3.0,-3.0,0.0,50.8,60.0,-3.0,0.0,0.0,2.57,3.12,4.13,73.76,156.0,63.59,173.92,1,1,135,87,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
1785439092.380,380,2.0,9.38,142.0,52.0,83.19,67.1,-91.9,165.0,-3.0,22.1,62.87,-62.87,204.87,-1.671,-3.0,-3.0,0.0,-37.8,60.0,-3.0,0.0,0.0,9.38,2.84,3.15,61.11,142.0,62.87,165.67,1,1,127,87,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0
1785439092.440,440,8.6,15.69,129.0,55.0,76.38,55.17,-109.9,165.0,-3.0,16.7,62.04,-62.04,191.04,-1.998,-2.999,-2.999,0.0,-94.0,60.0,-2.999,0.0,0.0,15.69,2.58,2.15,50.44,129.0,62.04,158.74,1,1,117,87,0,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0
1785439092.510,500,15.1,22.11,121.0,58.0,75.37,48.41,-120.9,165.0,-3.0,13.4,61.89,-61.89,182.89,-2.198,-2.999,-2.999,0.0,-106.1,60.0,-2.999,0.0,0.0,22.11,2.42,1.62,44.37,121.0,61.89,157.69,1,1,111,87,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
1785439092.579,560,22.5,26.17,102.0,36.0,64.22,34.6,-131.9,165.0,-3.0,10.0,59.72,-59.72,161.72,-2.398,-2.997,-2.997,0.0,-178.1,60.0,-2.997,0.0,0.0,26.17,2.04,1.02,31.53,102.0,59.72,145.57,1,1,105,87,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439092.640,620,25.5,28.62,80.0,39.0,52.4,21.62,-139.2,165.0,-3.0,7.8,55.84,-55.84,135.84,-2.531,-2.991,-2.991,0.0,-244.9,60.0,-2.991,0.0,0.0,28.62,1.6,0.63,19.4,80.0,55.84,131.49,1,1,101,87,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
1785439092.706,681,28.3,31.16,65.0,44.0,47.11,14.5,-144.8,165.0,-3.0,6.1,53.36,-53.36,118.36,-2.632,-2.979,-2.979,0.0,-255.1,60.0,-2.979,0.0,0.0,31.16,1.3,0.4,12.81,65.0,53.36,124.68,1,1,98,88,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439092.794,741,30.0,32.4,49.0,49.0,41.72,8.47,-150.3,165.0,-3.0,4.4,50.22,-50.22,99.22,-2.734,-2.947,-2.947,0.0,-261.6,60.0,-2.947,0.0,0.0,32.4,0.98,0.22,7.28,49.0,50.22,117.33,1,1,95,89,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439092.794,801,30.3,31.68,26.0,53.0,34.6,2.65,-154.1,165.0,-3.0,3.3,44.97,-44.97,70.97,-2.802,-2.802,-2.802,0.0,-291.7,60.0,-2.802,0.0,0.0,31.68,0.52,0.09,2.05,26.0,44.97,106.84,1,1,93,93,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439092.867,861,29.3,29.3,0.0,31.0,29.3,0.0,-152.2,165.0,3.0,0.0,40.15,-40.15,40.15,-2.768,-2.227,-2.227,0.0,-334.9,27.2,-2.227,0.0,0.0,29.3,0.0,0.0,0.0,0.0,40.15,98.32,1,1,94,110,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0
1785439092.926,921,27.9,27.9,-13.0,34.0,24.45,-3.13,-144.8,165.0,3.0,93.9,35.0,-35.0,22.0,-2.632,-1.442,-1.442,0.0,-303.7,27.7,-1.463,0.0,0.0,27.9,-0.29,-1.74,-1.1,19.07,35.0,89.82,1,1,98,133,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
1785439092.997,981,22.7,21.01,-47.0,36.0,5.62,-13.99,-133.7,165.0,3.0,90.5,8.94,-8.94,-38.06,-2.431,2.158,2.158,0.0,-392.7,60.0,0.958,0.0,0.0,21.01,-0.97,-4.71,-8.32,52.38,8.94,43.07,1,1,104,213,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439093.057,1041,19.3,17.24,-53.0,39.0,0.68,-15.05,-93.7,165.0,3.0,78.4,1.09,-1.09,-51.91,-1.704,2.533,2.533,0.0,-303.0,60.0,2.533,0.0,35.0,17.24,-1.08,-4.39,-9.57,56.2,1.09,15.03,1,1,126,272,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
1785439093.125,1101,13.1,9.88,-75.0,43.0,-16.84,-24.29,-53.0,165.0,3.0,66.1,25.5,25.5,-100.5,-0.963,2.95,2.95,0.0,-306.3,60.0,2.95,0.0,35.0,9.88,-1.51,-5.05,-17.73,76.49,25.5,74.54,1,1,149,290,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439093.216,1161,7.6,3.73,-86.0,45.0,-28.13,-28.96,-13.5,165.0,3.0,54.1,38.97,38.97,-124.97,-0.246,2.984,2.984,0.0,-269.9,60.0,2.984,0.0,35.0,3.73,-1.72,-4.67,-22.57,86.3,38.97,96.33,1,1,172,291,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439093.216,1221,0.3,-4.98,-110.0,48.0,-52.89,-43.56,24.5,165.0,3.0,42.6,56.04,56.04,-166.04,0.446,2.998,2.998,0.0,-322.7,60.0,2.998,0.0,35.0,-4.98,-2.2,-4.68,-36.67,110.0,56.04,132.1,1,1,195,292,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439093.276,1282,-6.9,-13.36,-122.0,53.0,-70.28,-51.75,51.6,165.0,3.0,34.4,61.04,61.04,-183.04,0.937,2.999,2.999,0.0,-283.3,60.0,2.999,0.0,35.0,-13.36,-2.44,-4.19,-45.11,122.0,61.04,152.28,1,1,212,292,0,1,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0
1785439093.345,1342,-13.8,-20.86,-124.0,57.0,-78.34,-52.25,80.7,165.0,3.0,25.6,62.31,62.31,-186.31,1.467,2.999,2.999,0.0,-207.5,60.0,2.999,0.0,35.0,-20.86,-2.48,-3.17,-46.6,124.0,62.31,160.77,1,1,231,292,0,1,0,0,1,1,1,0,0,0,3,1,0,1,0,0,0
1785439093.415,1402,-20.0,-27.25,-119.0,61.0,-79.66,-47.65,100.0,165.0,3.0,19.7,62.48,62.48,-181.48,1.817,2.999,2.999,0.0,-122.7,60.0,2.999,0.0,35.0,-27.25,-2.38,-2.35,-42.92,119.0,62.48,162.12,1,1,244,292,0,1,0,0,1,1,1,0,1,0,3,1,0,1,0,0,0
1785439093.475,1462,-30.3,-34.27,-117.0,34.0,-84.46,-45.63,114.3,165.0,3.0,15.4,63.0,63.0,-180.0,2.077,2.999,2.999,0.0,-65.0,60.0,2.999,0.0,35.0,-34.27,-2.34,-1.8,-41.49,117.0,63.0,166.94,1,1,254,292,0,1,0,0,1,1,1,0,0,0,3,1,0,1,0,0,0
1785439093.544,1522,-35.3,-39.07,-102.0,37.0,-77.34,-34.79,125.6,165.0,3.0,12.0,62.18,62.18,-164.18,2.283,2.998,2.998,0.0,30.5,60.0,2.998,0.0,35.0,-39.07,-2.04,-1.22,-31.53,102.0,62.18,159.74,1,1,262,292,0,1,0,0,1,1,1,0,0,0,3,1,0,1,0,0,0
1785439093.635,1584,-39.5,-43.19,-86.0,43.0,-70.64,-24.95,133.7,165.0,3.0,9.5,61.11,61.11,-147.11,2.43,2.995,2.995,0.0,99.4,60.0,2.995,0.0,35.0,-43.19,-1.72,-0.82,-22.42,86.0,61.11,152.67,1,1,268,292,0,1,0,0,1,1,1,0,0,0,3,1,0,1,0,0,0
1785439093.635,1644,-42.3,-45.24,-64.0,46.0,-60.77,-14.12,143.1,165.0,3.0,6.6,58.79,58.79,-122.79,2.602,2.983,2.983,0.0,184.7,60.0,2.983,0.0,35.0,-45.24,-1.28,-0.42,-12.41,64.0,58.79,141.6,1,1,275,291,0,1,0,0,1,1,1,0,0,0,3,1,0,1,0,0,0
1785439093.692,1704,-42.3,-49.08,-64.0,106.0,-64.5,-14.01,148.5,165.0,3.0,5.0,59.79,59.79,-123.79,2.701,2.984,2.984,0.0,126.9,60.0,2.984,0.0,35.0,-49.08,-1.28,-0.32,-12.41,64.0,59.79,145.88,1,1,279,291,0,1,0,0,1,1,1,0,1,1,3,1,0,2,0,0,0
1785439093.763,1764,-43.7,-43.7,-2.0,39.0,-43.77,-0.06,151.1,165.0,3.0,4.2,51.49,51.49,-53.49,2.748,2.564,2.564,0.0,313.4,23.8,2.564,0.0,35.0,-43.7,-0.04,-0.01,-0.01,2.0,51.49,120.17,1,1,281,273,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0
1785439093.824,1824,-42.5,-42.5,12.0,42.0,-39.2,3.0,149.9,165.0,-3.0,95.4,48.52,48.52,-36.52,2.725,2.103,2.103,0.0,291.4,24.0,2.103,0.0,35.0,-42.5,0.27,1.7,1.03,18.4,48.52,113.73,1,1,280,255,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0
1785439093.894,1885,-40.1,-38.69,32.0,44.0,-29.3,8.54,143.1,165.0,-3.0,93.4,40.15,40.15,-8.15,2.602,0.575,0.575,0.0,310.0,24.8,1.291,0.0,35.0,-38.69,0.67,3.5,4.37,37.97,40.15,98.33,1,1,275,225,0,0,0,0,1,1,1,0,0,0,3,1,0,2,0,0,0
1785439093.960,1945,-36.3,-33.56,56.0,49.0,-14.27,17.54,121.4,165.0,-3.0,86.8,21.94,21.94,34.06,2.208,-2.01,-2.01,0.0,339.8,60.0,-1.924,0.0,35.0,-33.56,1.14,5.24,11.15,60.66,21.94,68.62,1,1,259,119,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0,0
1785439094.021,2005,-31.6,-27.42,76.0,55.0,1.7,26.47,88.2,165.0,-3.0,76.7,2.71,-2.71,78.71,1.604,-2.862,-2.862,0.0,335.4,60.0,-2.862,0.0,34.0,-27.42,1.54,6.05,18.89,78.94,2.71,23.66,1,1,236,91,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0,0
1785439094.113,2065,-25.6,-20.34,94.0,56.0,19.08,35.84,53.1,165.0,-3.0,66.1,28.47,-28.47,122.47,0.966,-2.982,-2.982,0.0,320.8,60.0,-2.982,0.0,34.0,-20.34,1.89,6.31,27.64,95.49,28.47,79.34,1,1,213,88,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0,0
1785439094.113,2125,-19.0,-12.68,109.0,58.0,36.12,44.36,14.7,165.0,-3.0,54.5,46.21,-46.21,155.21,0.267,-2.996,-2.996,0.0,295.8,60.0,-2.996,0.0,34.0,-12.68,2.18,5.95,36.23,109.33,46.21,109.16,1,1,189,87,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0,0
1785439094.183,2187,-7.9,-3.37,126.0,36.0,58.62,56.36,-15.2,165.0,-3.0,45.4,58.13,-58.13,184.13,-0.277,-2.999,-2.999,0.0,285.3,60.0,-2.999,0.0,34.0,-3.37,2.52,5.72,48.12,126.0,58.13,139.08,1,1,171,87,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0,0
1785439094.243,2247,-1.0,3.95,124.0,40.0,62.79,53.49,-47.8,165.0,-3.0,35.5,59.35,-59.35,183.35,-0.868,-2.999,-2.999,0.0,183.5,60.0,-2.999,0.0,34.0,3.95,2.48,4.41,46.6,124.0,59.35,143.94,1,1,152,87,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0,0
1785439094.313,2307,6.0,11.49,125.0,44.0,70.28,53.44,-70.5,165.0,-3.0,28.7,61.04,-61.04,186.04,-1.281,-2.999,-2.999,0.0,134.6,60.0,-2.999,0.0,34.0,11.49,2.5,3.58,47.36,125.0,61.04,152.27,1,1,139,87,0,1,0,0,1,1,1,0,0,0,1,1,0,2,0,0,0
1785439094.372,2367,11.5,16.49,111.0,45.0,62.78,42.08,-90.1,165.0,-3.0,22.7,59.35,-59.35,170.35,-1.639,-2.998,-2.998,0.0,27.0,60.0,-2.998,0.0,34.0,16.49,2.22,2.52,37.34,111.0,59.35,143.92,1,1,128,87,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0,0
1785439094.440,2427,16.4,20.95,97.0,47.0,56.36,32.18,-106.3,165.0,-3.0,17.8,57.37,-57.37,154.37,-1.932,-2.996,-2.996,0.0,-52.1,60.0,-2.996,0.0,34.0,20.95,1.94,1.73,28.52,97.0,57.37,136.36,1,1,119,87,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0,0
1785439094.531,2488,20.9,25.25,87.0,50.0,53.78,25.94,-117.2,165.0,-3.0,14.5,56.4,-56.4,143.4,-2.132,-2.994,-2.994,0.0,-93.3,60.0,-2.994,0.0,34.0,25.25,1.74,1.26,22.94,87.0,56.4,133.21,1,1,113,87,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0,0
1785439094.531,2548,23.7,27.18,67.0,52.0,44.44,15.69,-128.2,165.0,-3.0,11.1,51.89,-51.89,118.89,-2.331,-2.979,-2.979,0.0,-161.2,60.0,-2.979,0.0,34.0,27.18,1.34,0.75,13.61,67.0,51.89,121.09,1,1,107,88,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0,0
1785439094.600,2608,25.8,28.66,52.0,55.0,39.33,9.7,-135.5,165.0,-3.0,8.9,48.61,-48.61,100.61,-2.464,-2.951,-2.951,0.0,-180.6,60.0,-2.951,0.0,34.0,28.66,1.04,0.46,8.2,52.0,48.61,113.91,1,1,103,89,0,1,0,0,1,1,1,0,0,0,1,1,0,2,0,0,0
1785439094.660,2668,28.0,30.71,46.0,59.0,39.12,7.64,-142.9,165.0,-3.0,6.7,48.46,-48.46,94.46,-2.598,-2.934,-2.934,0.0,-154.6,60.0,-2.934,0.0,34.0,30.71,0.92,0.31,6.41,46.0,48.46,113.61,1,1,99,89,0,1,0,0,1,1,1,0,0,0,1,1,0,2,0,0,0
1785439094.731,2728,28.5,29.28,23.0,34.0,31.68,2.18,-148.5,165.0,-3.0,5.0,42.42,-42.42,65.42,-2.7,-2.745,-2.745,0.0,-228.8,60.0,-2.745,0.0,34.0,29.28,0.46,0.12,1.6,23.0,42.42,102.23,1,1,96,95,0,1,0,0,1,1,1,0,0,0,1,1,0,2,0,0,0
1785439094.789,2788,25.3,25.3,-8.0,38.0,22.97,-2.12,-148.5,165.0,3.0,95.0,33.28,-33.28,25.28,-2.7,-1.615,-1.615,0.0,-333.3,28.5,-2.012,0.0,34.0,25.3,-0.19,-1.31,-0.62,14.31,33.28,87.05,1,1,96,117,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0
