pc_time,t,xr,x,v,age,stop,dstop,amodel,abrk,btarget,tslew,venv,vref,ev,beam,fb,us,ua,acc,rate,u,bias,fps,e,ddl,dsl,dss,vas,dbud,dmin,vc,vb,st,ok,cnt,tgt,sat,brk,stuck,set,mv,vv,px,edge,deg,hold,q,guard,gap,inv,crc,drop,esrc
1785440095.177,87602,10.0,8.04,-49.0,40.0,-27.23,-32.06,-63.4,165.0,3.0,415.3,10.69,-10.69,-38.31,-1.153,2.167,2.167,0.0,-309.1,60.0,2.167,0.0,36.0,8.04,-0.99,-22.26,-8.81,53.93,7.31,1.99,12.7,10.69,1,1,143,257,0,1,0,0,1,1,1,0,0,0,2,1,0,19,0,0,1
1785440095.266,87662,5.5,2.53,-66.0,45.0,-39.79,-38.47,-27.1,165.0,3.0,349.2,4.05,-4.05,-61.95,-0.492,2.702,2.702,0.0,-299.3,60.0,2.702,0.0,36.0,2.53,-1.33,-23.46,-13.69,67.21,2.3,0.42,4.05,4.81,1,1,164,279,0,1,0,0,1,1,1,0,0,0,2,1,0,19,0,0,0
1785440095.266,87722,0.0,-4.01,-82.0,49.0,-52.62,-44.18,16.3,165.0,3.0,270.3,6.4,6.4,-88.4,0.297,2.912,2.912,0.0,-284.1,60.0,2.912,0.0,36.0,-4.01,-1.64,-22.16,-20.38,82.0,3.65,0.19,6.4,9.09,1,1,190,288,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,0
1785440095.330,87782,-5.0,-9.55,-86.0,53.0,-56.43,-42.61,46.8,165.0,3.0,214.8,15.01,15.01,-101.01,0.852,2.952,2.952,0.0,-213.5,60.0,2.952,0.0,36.0,-9.55,-1.72,-18.48,-22.42,86.0,8.69,1.11,15.01,16.07,1,1,209,290,0,1,0,0,1,1,1,0,0,0,1,1,0,19,0,0,0
1785440095.401,87845,-14.2,-17.43,-101.0,32.0,-72.82,-50.36,70.2,165.0,3.0,172.5,24.1,24.1,-125.1,1.275,2.985,2.985,0.0,-222.6,60.0,2.985,0.0,36.0,-17.43,-2.02,-17.42,-30.92,101.0,15.84,2.44,26.29,24.1,1,1,224,291,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.459,87905,-19.0,-22.36,-91.0,37.0,-65.4,-39.13,91.2,165.0,3.0,134.2,25.9,25.9,-116.9,1.658,2.977,2.977,0.0,-94.8,60.0,2.977,0.0,36.0,-22.36,-1.82,-12.21,-25.1,91.0,20.33,4.24,32.56,25.9,1,1,238,291,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.518,87965,-24.0,-27.64,-91.0,40.0,-67.78,-36.5,107.1,165.0,3.0,105.3,28.21,28.21,-119.21,1.947,2.98,2.98,0.0,-65.8,60.0,2.98,0.0,36.0,-27.64,-1.82,-9.58,-25.1,91.0,25.12,6.04,38.46,28.21,1,1,249,291,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.588,88025,-28.1,-31.62,-82.0,43.0,-63.46,-28.94,118.6,165.0,3.0,84.4,29.49,29.49,-111.49,2.156,2.97,2.97,0.0,-4.0,60.0,2.97,0.0,36.0,-31.62,-1.64,-6.92,-20.38,82.0,28.75,7.61,42.37,29.49,1,1,257,291,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.650,88085,-31.0,-33.91,-62.0,47.0,-52.65,-17.03,128.3,165.0,3.0,66.8,29.03,29.03,-91.03,2.332,2.922,2.922,0.0,111.4,60.0,2.922,0.0,36.0,-33.91,-1.24,-4.14,-11.65,62.0,30.83,9.14,44.4,29.03,1,1,264,289,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.720,88148,-32.8,-35.17,-44.0,54.0,-45.12,-9.04,136.4,165.0,3.0,52.1,27.78,27.78,-71.78,2.479,2.81,2.81,0.0,162.7,60.0,2.81,0.0,36.0,-35.17,-0.88,-2.29,-5.87,44.0,31.98,10.56,45.45,27.78,1,1,270,284,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.779,88208,-33.8,-35.34,-27.0,57.0,-39.69,-3.96,140.4,165.0,3.0,44.7,26.62,26.62,-53.62,2.553,2.567,2.567,0.0,195.1,60.0,2.567,0.0,36.0,-35.34,-0.54,-1.21,-2.21,27.0,32.13,11.32,45.58,26.62,1,1,273,274,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.838,88268,-32.9,-32.9,4.0,35.0,-17.62,13.89,139.1,165.0,-3.0,552.8,24.46,24.46,-20.46,2.528,1.356,1.356,0.0,297.8,26.2,1.458,0.0,36.0,-32.9,0.11,11.99,1.8,24.36,29.91,11.06,43.52,24.46,1,1,272,231,0,0,0,0,0,1,0,0,0,0,3,1,0,19,0,0,1
1785440095.931,88328,-30.4,-29.27,29.0,39.0,5.01,31.17,129.6,165.0,-3.0,535.6,23.46,23.46,5.54,2.356,-0.393,-0.393,0.0,340.6,60.0,-0.331,0.0,36.0,-29.27,0.61,23.9,6.66,46.86,26.61,9.36,40.12,23.46,1,1,265,169,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.931,88388,-26.5,-24.14,55.0,43.0,26.51,46.04,101.4,165.0,-3.0,484.3,25.51,25.51,29.49,1.843,-1.817,-1.817,0.0,376.5,60.0,-1.817,0.0,36.0,-24.14,1.12,31.57,13.35,66.37,21.94,5.35,34.64,25.51,1,1,245,123,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440095.990,88451,-21.9,-18.33,73.0,49.0,41.83,54.68,73.2,165.0,-3.0,433.0,24.72,24.72,48.28,1.33,-2.453,-2.453,0.0,359.0,60.0,-2.453,0.0,36.0,-18.33,1.47,34.14,19.07,79.33,16.66,2.66,27.48,24.72,1,1,226,103,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,1
1785440096.057,88511,-16.6,-11.85,88.0,54.0,53.1,59.05,35.8,165.0,-3.0,365.1,18.44,18.44,69.56,0.651,-2.789,-2.789,0.0,323.2,60.0,-2.789,0.0,36.0,-11.85,1.77,32.79,24.49,89.88,10.77,0.68,18.44,21.82,1,1,202,93,0,1,0,0,1,1,1,0,0,0,3,1,0,19,0,0,0
1785440096.121,88571,-11.1,-5.59,95.0,58.0,57.93,57.75,0.0,165.0,-3.0,300.0,8.89,8.89,86.11,0.0,-2.902,-2.902,0.0,258.4,60.0,-2.902,0.0,36.0,-5.59,1.9,28.5,27.35,95.0,5.09,0.0,8.89,14.03,1,1,180,90,0,1,0,0,1,1,1,0,0,0,2,1,0,19,0,0,0
1785440096.189,88631,-2.0,1.78,108.0,35.0,71.37,63.27,-33.8,165.0,-3.0,238.5,2.5,-2.5,110.5,-0.615,-2.969,-2.969,0.0,250.7,60.0,-2.969,0.0,36.0,1.78,2.16,25.76,35.35,108.0,1.61,0.61,2.84,2.5,1,1,160,88,0,1,0,0,1,1,1,0,0,0,2,1,0,19,0,0,1
1785440096.252,88691,3.2,7.21,103.0,39.0,66.85,54.21,-58.2,165.0,-3.0,194.2,10.11,-10.11,113.11,-1.058,-2.973,-2.973,0.0,147.6,60.0,-2.973,0.0,36.0,7.21,2.06,20.0,32.15,103.0,6.56,1.68,11.42,10.11,1,1,146,88,0,1,0,0,1,1,1,0,0,0,1,1,0,19,0,0,1
