pc_time,t,xr,x,v,age,stop,dstop,amodel,abrk,btarget,tslew,venv,vref,ev,beam,fb,us,ua,acc,rate,u,bias,fps,st,ok,cnt,tgt,sat,brk,stuck,set,mv,vv,px,edge,deg,hold,q,guard,gap,inv,crc,drop
1785438405.308,20,113.7,122.76,162.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0,1,211,210,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
1785438405.410,80,117.8,125.42,125.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0,1,210,210,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0
1785438405.410,140,110.2,110.2,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1,1,210,210,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0
1785438405.490,200,107.0,106.01,-22.0,45.0,103.04,-2.71,45.3,165.0,3.0,36.3,64.19,-64.19,42.19,0.823,-2.29,-2.29,0.0,-70.6,19.3,-0.278,0.0,0.0,1,1,208,171,0,0,0,0,1,1,1,0,0,0,2,1,0,2,0,0
1785438405.561,260,104.3,102.62,-35.0,48.0,96.19,-5.85,29.4,165.0,3.0,41.1,63.87,-63.87,28.87,0.535,-1.789,-1.789,0.0,-114.5,19.4,-1.441,0.0,0.0,1,1,198,134,0,0,0,0,1,1,1,0,0,0,1,1,0,2,0,0
1785438405.659,320,101.4,99.08,-43.0,54.0,89.75,-8.49,9.8,165.0,3.0,47.0,63.45,-63.45,20.45,0.178,-1.355,-1.355,0.0,-115.9,19.5,-1.355,0.0,0.0,1,1,186,137,0,0,0,0,1,1,1,0,0,0,2,1,0,2,0,0
1785438405.659,380,98.7,96.03,-46.0,58.0,85.32,-9.74,-5.1,165.0,3.0,51.5,63.08,-63.08,17.08,-0.092,-1.157,-1.157,0.0,-94.0,19.6,-1.157,0.0,0.0,1,1,177,143,0,0,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438405.728,440,96.5,95.41,-32.0,34.0,89.19,-5.66,-20.3,165.0,3.0,56.1,63.41,-63.41,31.41,-0.369,-1.902,-1.902,0.0,4.4,19.6,-1.902,0.0,0.0,1,1,168,120,0,0,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438405.801,500,94.2,92.68,-39.0,39.0,83.8,-8.08,-37.3,165.0,3.0,61.3,62.93,-62.93,23.93,-0.678,-1.546,-1.546,0.0,-36.7,19.7,-1.546,0.0,0.0,1,1,158,131,0,0,0,0,1,1,1,0,0,0,2,1,0,2,0,0
1785438405.904,560,91.2,89.22,-46.0,43.0,77.44,-10.71,-46.0,165.0,3.0,63.9,62.19,-62.19,16.19,-0.837,-1.102,-1.102,0.0,-57.3,19.8,-1.102,0.0,0.0,1,1,153,145,0,0,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438405.904,620,87.9,85.21,-56.0,48.0,68.9,-14.83,-49.5,165.0,3.0,65.0,60.77,-60.77,4.77,-0.9,-0.339,-0.339,0.0,-94.3,20.0,-0.478,0.0,0.0,1,1,151,164,0,0,0,0,1,1,1,0,0,0,2,1,0,2,0,0
1785438405.977,680,83.5,79.98,-69.0,51.0,57.28,-20.64,-40.8,165.0,3.0,62.4,57.69,-57.69,-11.31,-0.742,0.789,0.789,0.0,-134.7,60.0,0.789,0.0,0.0,1,1,156,207,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.071,740,79.0,75.13,-73.0,53.0,50.86,-22.07,-23.7,165.0,3.0,57.2,55.17,-55.17,-17.83,-0.43,1.202,1.202,0.0,-110.3,60.0,1.202,0.0,0.0,1,1,166,221,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0
1785438406.071,800,74.3,69.99,-77.0,56.0,44.23,-23.42,-1.7,165.0,3.0,50.5,51.77,-51.77,-25.23,-0.031,1.613,1.613,0.0,-91.6,60.0,1.613,0.0,0.0,1,1,179,236,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.145,860,66.2,63.29,-91.0,32.0,29.32,-30.88,21.2,165.0,3.0,43.6,40.17,-40.17,-50.83,0.386,2.51,2.51,0.0,-131.7,60.0,2.51,0.0,0.0,1,1,193,271,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0
1785438406.214,920,60.7,57.28,-95.0,36.0,21.36,-32.66,46.8,165.0,3.0,35.8,31.34,-31.34,-63.66,0.852,2.724,2.724,0.0,-111.9,60.0,2.724,0.0,0.0,1,1,209,280,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.313,980,55.9,52.39,-90.0,39.0,20.52,-28.98,68.7,165.0,3.0,29.2,30.3,-30.3,-59.7,1.248,2.67,2.67,0.0,-48.2,60.0,2.67,0.0,0.0,1,1,223,278,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.313,1040,49.9,45.65,-99.0,43.0,8.21,-34.03,86.7,165.0,3.0,23.7,12.96,-12.96,-86.04,1.576,2.902,2.902,0.0,-78.2,60.0,2.902,0.0,36.0,1,1,235,288,0,1,0,0,1,1,1,0,0,0,2,1,0,2,0,0
1785438406.383,1100,44.8,40.29,-96.0,47.0,5.46,-31.66,102.8,165.0,3.0,18.8,8.69,-8.69,-87.31,1.869,2.908,2.908,0.0,-42.6,60.0,2.908,0.0,36.0,1,1,246,288,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.492,1160,40.0,35.22,-92.0,52.0,3.47,-28.87,115.7,165.0,3.0,14.9,5.53,-5.53,-86.47,2.103,2.904,2.904,0.0,-16.2,60.0,2.904,0.0,36.0,1,1,255,288,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.492,1220,35.7,31.33,-81.0,54.0,6.57,-22.51,124.2,165.0,3.0,12.4,10.42,-10.42,-70.58,2.258,2.799,2.799,0.0,46.6,60.0,2.799,0.0,36.0,1,1,261,283,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.562,1280,32.6,28.83,-65.0,58.0,12.55,-14.8,129.6,165.0,3.0,10.7,19.46,-19.46,-45.54,2.356,2.384,2.384,0.0,110.8,60.0,2.384,0.0,36.0,1,1,265,266,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.631,1340,29.0,27.47,-45.0,34.0,19.16,-7.56,126.9,165.0,3.0,11.5,28.57,-28.57,-16.43,2.307,1.117,1.117,0.0,185.7,60.0,1.117,0.0,36.0,1,1,263,218,0,1,0,0,1,1,1,0,0,0,3,1,0,2,0,0
1785438406.731,1400,28.4,27.51,-24.0,37.0,24.68,-2.57,117.1,165.0,3.0,14.5,35.26,-35.26,11.26,2.129,-0.785,-0.785,0.0,244.2,27.8,-0.309,0.0,36.0,1,1,256,170,0,0,0,0,1,1,1,0,0,0,3,1,0,2,0,0
