pc_time,t,xr,x,v,age,stop,dstop,amodel,abrk,btarget,tslew,venv,vref,ev,beam,fb,us,ua,acc,rate,u,bias,fps,e,ddl,dsl,dss,vas,dbud,dmin,vc,vb,st,ok,cnt,tgt,sat,brk,stuck,set,mv,vv,px,edge,deg,hold,q,guard,gap,inv,crc,drop,esrc
1785440491.376,32211,-25.1,-21.33,74.0,51.0,33.7,50.03,88.3,165.0,-3.001,354.2,31.3,31.3,42.7,1.604,-2.305,-2.305,0.0,361.1,60.0,-2.306,-0.001,36.0,-21.33,1.5,28.54,19.99,81.21,19.39,2.51,31.3,32.66,1,1,236,108,0,1,0,0,1,1,1,0,0,0,3,1,0,17,0,0,0
1785440491.438,32271,-19.5,-14.15,94.0,57.0,50.37,58.66,46.9,165.0,-3.001,296.3,21.76,21.76,72.24,0.852,-2.814,-2.814,0.0,348.2,60.0,-2.814,-0.001,36.0,-14.15,1.89,28.56,28.21,96.48,12.86,0.73,21.76,28.95,1,1,209,93,0,1,0,0,1,1,1,0,0,0,3,1,0,17,0,0,0
1785440491.500,32331,-9.9,-6.45,108.0,32.0,64.13,64.16,9.9,165.0,-3.001,244.6,10.23,10.23,97.77,0.178,-2.943,-2.943,0.0,306.7,60.0,-2.944,-0.001,36.0,-6.45,2.16,26.48,35.53,108.27,5.86,0.07,10.23,18.06,1,1,186,89,0,1,0,0,1,1,1,0,0,0,1,1,0,17,0,0,0
1785440491.562,32391,-3.9,0.13,109.0,37.0,65.28,59.23,-27.0,165.0,-3.001,193.0,0.0,0.0,109.0,-0.492,-2.967,-2.967,0.0,217.9,60.0,-2.968,-0.001,36.0,0.13,2.18,21.04,36.01,109.0,0.12,0.28,0.2,0.0,1,1,164,88,0,1,0,0,1,1,1,0,0,0,1,1,0,17,0,0,1
1785440491.635,32451,2.0,6.62,110.0,42.0,68.34,56.12,-52.9,165.0,-3.001,156.7,10.49,-10.49,120.49,-0.963,-2.981,-2.981,0.0,155.6,60.0,-2.982,-0.001,36.0,6.62,2.2,17.24,36.67,110.0,6.01,0.91,10.49,13.31,1,1,149,88,0,1,0,0,1,1,1,0,0,0,2,1,0,17,0,0,0
1785440491.696,32514,7.9,13.4,108.0,51.0,70.09,51.53,-72.2,165.0,-3.001,129.8,20.7,-20.7,128.7,-1.313,-2.987,-2.987,0.0,96.5,60.0,-2.988,-0.001,36.0,13.4,2.16,14.02,35.35,108.0,12.18,1.66,20.7,23.24,1,1,138,88,0,1,0,0,1,1,1,0,0,0,2,1,0,17,0,0,0
1785440491.755,32574,13.1,18.7,100.0,56.0,65.76,42.79,-90.1,165.0,-3.001,104.8,27.97,-27.97,127.97,-1.639,-2.986,-2.986,0.0,24.8,60.0,-2.987,-0.001,36.0,18.7,2.0,10.48,30.31,100.0,17.0,2.62,27.97,28.31,1,1,128,88,0,1,0,0,1,1,1,0,0,0,2,1,0,17,0,0,0
1785440491.826,32634,16.7,21.82,84.0,61.0,54.79,29.97,-106.2,165.0,-3.001,82.2,29.34,-29.34,113.34,-1.932,-2.973,-2.973,0.0,-61.1,60.0,-2.974,-0.001,36.0,21.82,1.68,6.91,21.39,84.0,19.84,3.73,31.9,29.34,1,1,119,88,0,1,0,0,1,1,1,0,1,1,2,1,0,18,0,0,1
1785440491.883,32694,21.9,24.55,68.0,39.0,46.27,19.75,-119.0,165.0,-3.001,64.3,30.04,-30.04,98.04,-2.165,-2.944,-2.944,0.0,-132.0,60.0,-2.945,-0.001,36.0,24.55,1.36,4.37,14.01,68.0,22.32,4.81,35.11,30.04,1,1,112,89,0,1,0,0,1,1,1,0,0,0,2,1,0,18,0,0,1
1785440491.976,32754,23.3,25.32,47.0,43.0,36.25,9.94,-130.0,165.0,-3.001,49.0,28.28,-28.28,75.28,-2.365,-2.838,-2.838,0.0,-208.0,60.0,-2.839,-0.001,36.0,25.32,0.94,2.3,6.7,47.0,23.02,5.89,35.97,28.28,1,1,106,92,0,1,0,0,1,1,1,0,0,0,2,1,0,18,0,0,1
